img_src,name,core_count,core_clock_GHz,boost_clock_GHz,tdp_W,integrated_graphics,price,link,socket,rating_number, rating
https://images-na.ssl-images-amazon.com/images/I/514cOpqlw3L.jpg,Intel Core i7-4790K,4,4,4.4,88,Intel HD Graphics 4600,475.99,https://es.pcpartpicker.com/product/WMJwrH/intel-cpu-cm8064601710501,LGA1150,6,4.3
https://images-na.ssl-images-amazon.com/images/I/51zg42Jls6L.jpg,AMD Phenom II X6 1090T Black,6,3.2,,125,,481,https://es.pcpartpicker.com/product/MkZQzy/amd-cpu-hdt90zfbgrbox,AM3,7,4.4
//cdna.pcpartpicker.com/static/forever/images/product/cd59447c1091b738d94fc8ea7b0629c6.256p.jpg,Intel Core i9-9900KF,8,3.6,5,95,,495.99,https://es.pcpartpicker.com/product/G7KcCJ/intel-core-i9-9900kf-36-ghz-8-core-processor-bx80684i99900kf,LGA1151,15,4.9
//cdna.pcpartpicker.com/static/forever/images/product/46badc31f619c275800a79476709e08f.256p.jpg,Intel Core i3-9100,4,3.6,4.2,65,Intel UHD Graphics 630,503.99,https://es.pcpartpicker.com/product/NfKcCJ/intel-core-i3-9100-36-ghz-quad-core-processor-bx80684i39100,LGA1151,7,4.7
//cdna.pcpartpicker.com/static/forever/images/product/c3d3a6843e0c0a5d98155e9fa68c092c.256p.jpg,Intel Core i9-12900KF,16,3.2,5.2,125,,515.83,https://es.pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf,LGA1700,2,4.5
//cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,AMD Ryzen 9 7900X,12,4.7,5.6,170,Radeon,525.17,https://es.pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof, AM5,5,4.8
//cdna.pcpartpicker.com/static/forever/images/product/1c98c8fccc44a3696129e74df5243312.256p.jpg,AMD Ryzen 7 3800X,8,3.9,4.5,105,,528.65,https://es.pcpartpicker.com/product/gryV3C/amd-ryzen-7-3800x-39-ghz-8-core-oemtray-processor-100-000000025,AM4,1,5
//cdna.pcpartpicker.com/static/forever/images/product/c9724573a84719379a3f95f469a6e636.256p.jpg,Intel Core i9-11900,8,2.5,5.2,65,Intel UHD Graphics 750,537,https://es.pcpartpicker.com/product/3y4Ycf/intel-core-i9-11900-25-ghz-8-core-processor-bx8070811900,LGA1200,2,5
//cdna.pcpartpicker.com/static/forever/images/product/16ddfc2028922cd20cffaa6976165f84.256p.jpg,AMD Ryzen 5 3600XT,6,3.8,4.5,95,,537,https://es.pcpartpicker.com/product/7sFKHx/amd-ryzen-5-3600xt-38-ghz-6-core-processor-100-100000281box,AM4,36,4.8
https://m.media-amazon.com/images/I/41lT9nNLBUL.jpg,Intel Core i9-10850K,10,3.6,5.2,125,Intel UHD Graphics 630,538.99,https://es.pcpartpicker.com/product/nGFKHx/intel-core-i9-10850k-36-ghz-10-core-processor-bx8070110850k,LGA1200,55,4.8
//cdna.pcpartpicker.com/static/forever/images/product/b9d3c68bbf713cdd1211f3792040ce95.256p.jpg,Intel Core i9-12900K,16,3.2,5.2,125,Intel UHD Graphics 770,547,https://es.pcpartpicker.com/product/gGH7YJ/intel-core-i9-12900k-32-ghz-8-core-processor-bx8071512900k,LGA1700,32,4.9
//cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,AMD Ryzen 9 5950X,16,3.4,4.9,105,,558.82,https://es.pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof,AM4,86,5
https://images-eu.ssl-images-amazon.com/images/I/418Vdl99UyL.jpg,Intel Core i5-9500,6,3,4.4,65,Intel UHD Graphics 630,570.99,https://es.pcpartpicker.com/product/rD4BD3/intel-core-i5-9500-3-ghz-6-core-processor-bx80684i59500,LGA1151,1,5
//cdna.pcpartpicker.com/static/forever/images/product/af8e6181a8d4489c8613fc076130dc06.256p.jpg,AMD FX-9590,8,4.7,5,220,,571,https://es.pcpartpicker.com/product/pGrG3C/amd-cpu-fd9590fhhkwof,AM3+,29,4.6
