img_src,name,capacity,price/GB,type,cache,form_factor,interface,price,link,rating_number,rating
https://m.media-amazon.com/images/I/41QeSWtFonL.jpg,Crucial MX300,525 GB,0.694,SSD,,M.2,M.2 SATA,364.47,https://es.pcpartpicker.com/product/34Nypg/crucial-mx300-525gb-m2-2280-solid-state-drive-ct525mx300ssd4,26,4.9
//cdna.pcpartpicker.com/static/forever/images/product/d54938a88ad375113bb71ada129e2e8c.256p.jpg,Western Digital Black SN850,2 TB,0.182,SSD,,M.2,M.2 PCIe 4.0 X4,363.76,https://es.pcpartpicker.com/product/6LGnTW/western-digital-black-sn850-2-tb-m2-2280-nvme-solid-state-drive-wds200t1x0e,15,4.9
//cdna.pcpartpicker.com/static/forever/images/product/1b8dfbf3066b1887a595ab45940a47d7.256p.jpg,Western Digital Black SN750,2 TB,0.18,SSD,,M.2,M.2 PCIe 3.0 X4,360.08,https://es.pcpartpicker.com/product/9zQG3C/western-digital-wd_black-sn750-2-tb-m2-2280-nvme-solid-state-drive-wds200t3xhc,3,4.7
https://images-na.ssl-images-amazon.com/images/I/312yDjwUDGL.jpg,Toshiba PH3300U-1I72,3 TB,0.12,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,358.94,https://es.pcpartpicker.com/product/LqjG3C/toshiba-internal-hard-drive-ph3300u1i72,11,4.4
//cdna.pcpartpicker.com/static/forever/images/product/0c44555c3c7bec121665d495b21c5465.256p.jpg,Seagate IronWolf NAS,8 TB,0.044,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,353.45,https://es.pcpartpicker.com/product/zKnG3C/seagate-ironwolf-8tb-35-7200rpm-internal-hard-drive-st8000vn0022,1,4
https://m.media-amazon.com/images/I/41zKFX5C9BL.jpg,Samsung 860 Pro,512 GB,0.689,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,352.56,https://es.pcpartpicker.com/product/4cbwrH/samsung-860-pro-512gb-25-solid-state-drive-mz-76p512bw,7,5
//cdna.pcpartpicker.com/static/forever/images/product/b716a19f6745a0c97af98bcbd1cd8572.256p.jpg,Seagate FireCuda,2 TB,0.174,SSD,,M.2,M.2 PCIe 3.0 X4,348.4,https://es.pcpartpicker.com/product/kpgQzy/seagate-firecuda-2-tb-m2-2280-nvme-solid-state-drive-zp2000gm30021,1,5
https://m.media-amazon.com/images/I/51lCqilNgQL.jpg,Intel 330,120 GB,2.901,SSD,,"2.5""",SATA 6.0 Gb/s,348.09,https://es.pcpartpicker.com/product/yYxfrH/intel-internal-hard-drive-ssdsc2ct120a3k5,10,4.7
https://m.media-amazon.com/images/I/51ZU3AtjsrL.jpg,Western Digital Black,4 TB,0.087,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,347.45,https://es.pcpartpicker.com/product/rYn2FT/western-digital-internal-hard-drive-wd4003fzex,26,4.8
//cdna.pcpartpicker.com/static/forever/images/product/fddd7d0acb013b02e4d2101e3f9d07ba.256p.jpg,Mushkin PILOT,2 TB,0.173,SSD,,M.2,M.2 PCIe 3.0 X4,346.09,https://es.pcpartpicker.com/product/VzQG3C/mushkin-pilot-2-tb-m2-2280-solid-state-drive-mknssdpl2tb-d8,1,4
https://m.media-amazon.com/images/I/51RJCw6u3cL.jpg,Western Digital Red Pro,4 TB,0.086,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,345,https://es.pcpartpicker.com/product/nj8Zxr/western-digital-internal-hard-drive-wd4001ffsx,1,5
//cdna.pcpartpicker.com/static/forever/images/product/820a5fc34269d4a88c72b95251b60308.256p.jpg,Kingston KC2000,1 TB,0.345,SSD,,M.2,M.2 PCIe 3.0 X4,344.72,https://es.pcpartpicker.com/product/mJbCmG/kingston-kc2000-1-tb-m2-2280-nvme-solid-state-drive-skc2000m81000g,1,5
https://m.media-amazon.com/images/I/31nXTKlKQYL.jpg,Crucial P3 Plus,4 TB,0.086,SSD,,M.2,M.2 PCIe 4.0 X4,344.34,https://es.pcpartpicker.com/product/PPpzK8/crucial-p3-plus-4-tb-m2-2280-nvme-solid-state-drive-ct4000p3pssd8,1,4
